doc_id,topic_id,summary,sentence_count
18,How to Find the Nearest Casino3, Read local newspapers and/or newspapers with a broader focus.  Determine the distance from your location to each casino.  Choose the casino that is the shortest distance from your location.  ,3
19,How to Find the Nearest Casino4, Read your local phone book.  Determine the distance from your location to each casino.  Choose the casino that is the shortest distance from your location.  ,3
20,How to Find the Nearest Casino5, Visit the following URL on your Internet browser: http://www.pokerhouse.co.uk/landbasedcasinos.html.  Click the link that applies to your location.  Determine the distance from your location to each casino. Choose the casino that is the shortest distance from your location.,4
21,How to Deal With Fainting Spells, Determine if a fainting spell is approaching.  React quickly to the symptoms.  Prepare yourself for losing consciousness.  Take it slowly if you do faint.  Identify the cause.  Prevent fainting spells through hydration.  Practice calming techniques.  Avoid excessive drinking and illegal drugs.  Find out if you have a medical condition.  Provide the doctor with your history.  Follow the doctor's advice.,11
22,How to Cope with a Bedridden Parent, Help with basic hygiene.  Watch for bed sores.  Look for signs of chest problems.  Provide emotional support.  Ask about a social worker.  Request help from friends and family.  Let the professionals help.  Acknowledge your emotions.  Ask questions.  Take care of your spiritual needs.  Enjoy what you can.  Determine your limitations.  Maintain your health.,13
23,How to Be Healthy, Drink more water.  Eat breakfast.  Eat well throughout the day.  Eat at the right times.  Consider going meatless.  Read the labels.  Get in shape.  Maintain a healthy weight.  Cross train.  Exercise wisely.  Take the little opportunities.  Think positively.  Be satisfied.  Think small.  Manage stress.  Choose your friends wisely.  Be productive.  Take a break.  Find emotional balance.  Stop engaging in risky behavior.  Exercise several times a week.  Get a good night's rest.  Learn how to cook.  Maintain your personal hygiene.  Bolster your immune system.,25
24,How to Be a Responsible Pet Parent," Name it!, Make sure your pet always has enough food and water.  Keep your pet clean.  Train your pet.  Care for your pet.  Make sure to take it to the vet at least every 6 months.",5
25,How to Be Animal Friendly," Go vegan!, Don't buy real fur products!, Don't visit zoos or circuses that you know mistreat animals.  Adopt!, Volunteer at an animal shelter.  Recycle and compost.  Know your facts.  Get involved!",5
26,How to Be a Good Pet Owner (for Kids), Give food and water to the pet.  Clean up after the pet.  Groom the pet.  Take your dog for daily walks.  Play with your pet.  Teach your dog basic obedience commands.  Do not give your pet unhealthy treats or food.  Follow your parent's house rules for the pet.  Tell your parents if your pet is behaving badly.  Let your parents know if your pet seems ill or sick.  Add to your pet responsibilities as you get older.,11
27,How to Leave Your Pets Alone While on Vacation1, Assess your pet's needs.  Adjust your pet's schedule.  Write detailed instructions.  Talk to your veterinarian.,4
28,How to Keep Your Pets Happy," Greet your pets.  Take special time each day to interact with your pets.  Wipe/clean up ""accidents"".  Give your pets a safe place to travel.",4
29,How to Know when You Have Too Many Pets," Consider time spent caring for your pets.  Calculate space requirements for your pets.  Make sure you have the ability to care for your pets.  Count the number of pets you already have.  Create a budget.  Consider what you could spend your money on without pets.  Make sure all your needs are being met.  Pay for medical care.  Find out what the rules are.  Check city, county, and state laws.  Make sure all pets are licensed.  Consider any children in the house.  Be courteous of others.  Be aware of pet hoarding.  Find a new home for excess pets.  Volunteer or give money to support animal rescue groups or shelters.",16
30,How to Improve the Quality of Your Pet's Drinking Water, Use stainless steel or ceramic for the water bowl container.  Make sure the container is over-sized.  Take care of the condition of your water bowl.  Don't just use really hot water.  Change the water frequently.  Spritz the bowl with a light mist of peroxide after you have cleaned it.  Give them filtered water.,7
31,How to Take Care of Your Pet," Determine if you can adequately care for a pet.  Choose a pet that fits your lifestyle.  Prepare your house for your incoming pet.  Buy necessary pet supplies in advance.  Budget enough money for adequate care.  Schedule regular visits to the vet.  Make sure your new ""family member"" has food that suits their nutritional needs.  Give your pet your affection and attention.  Clean your pet and all of its enclosures.  Do in-depth research about care for your pet.",10
32,How to Take Care of a Pet," Research the type of pet, so you can make sure the pet fits into your environment and lifestyle.  Choose your breed carefully, especially if you have children.  Be realistic about your budget, and your ability to shoulder responsibilities.  Exercise your pet if it's the kind of pet that needs it, such as a dog.  Watch your pet's diet carefully.  Consider whether your pet needs to be groomed.  Monitor your pet for illness and injury.  Train your pet if it's the kind of pet that needs it.  Make time for your pet.  Love your pet.",10
33,How to Keep a Pet," Remember that they too are living things.  (If small animal) Don't make them live in a small cage choose a big cage, or even make one!  , Treat them like your family.  Understand them.  Take control of their stuff, rather than hiring a person to look after them.  Give them freedom.  Let them do what they want.",7
34,How to Take Care of Outdoor Exotic Animals," Make a living space for them.  Get feeding supplies.  Secure the area.  Buy a water tank.  Be prepared to clean droppings.  Don't forget to love them!, Finally, have overall common sense!",6
35,How to Leave Your Pets Alone While on Vacation2, Try a pet sitter.  Ask a friend or neighbor to check on your pet.  Take your pet to a boarding kennel.  Try home boarding.,4
36,How to Leave Your Pets Alone While on Vacation3, Relocate your caged pet.  Choose an environment that is similar to your home.  Get an in-home sitter for birds and cats.  Take your pet to a kennel.,4
37,How to Leave Your Pets Alone While on Vacation4, Make your home comfortable.  Pet-proof your home.  Use an automatic feeder.  Consider a pet camera.,4
38,How to Train a Parrot," Create a proper training environment.  Be prepared.  Start early, train often, but don't push too hard.  Have it eating out of your hand.  Shape the desired behaviors.  Get your clicks.  Stay on target.  Employ the ""step up"" as an early training step.  Test the most basic method.  Use an alternate treat-based step-up.  Move on to the target-training step-up.  Don't presume your parrot will (or won't) talk.  Watch your mouth.  Start young and stay calm.  Repeat, and repeat again.",15
39,How to Train a Parrot to Say Something," Decide what you want your parrot to say, but make it basic.  If you want, you can make it say simple but funny things.  You should go to a nice and quiet room.  To start teaching it, repeat what you want it to say many times.  If you DO get your parrot to say it correctly, then you've succeeded!",5
40,How to Toilet Train a Parrot, Observe your bird's natural behavior.  Choose a command.  Create a potty spot.  Move your bird to the potty spot when he needs to go.  Say your command when your bird defecates.  Reward the behavior.  Take your bird to the potty spot as often as necessary.  Do not train a new bird too early.  Keep your expectations realistic.  Do not scold or hit your parrot.,10
41,How to Make a Beekeeping Suit," Choose a white button-down shirt.  Gather other supplies.  Remove the buttons from the shirt.  Sew the button holes closed.  Cut velcro to line the shirt opening.  Attach the velcro to the shirt opening.  Cut and attach velcro around the collar and sleeves.  Choose a wide-brimmed hat.  Gather supplies to make the veil.  Measure and cut the fabric.  Bring the edges together and sew the seam.  Sew the veil to the brim of the hat.  Buy the remaining beekeeping suit essentials.  Put on the hat and gloves.  Put on the shirt.  Tuck the shirt into your pants.  Put on your socks and shoes.  Purchase a light-colored, long-sleeved coverall.  Attach elastic to the neck hole and wrists.  Put on your suit.",20
42,How to Identify a Queen Bee," Look for a bee larger than the others in the hive.  Look for a bee with a pointed abdomen.  Using a magnifying glass, look for a bee without a barb on its stinger.  Look for a bee that stands with its legs splayed apart.  Watch the way the other bees act subserviently around her.",5
43,How to Identify the Symptoms of Colony Collapse Disorder, Look for a major or complete desertion of the colony by all adult bees over a short period of time.  Look for bees.  Check for the queen.  Check for another colony moving in.,4
44,How to Shoe a Horse," Lift the horse's foot.  Remove any shoes that are already on the horse's feet.  Clean the bottom of the hoof.  Use a hoof knife to remove excess, flaky sole from the bottom of the hoof.  Trim excess hoof wall with hoof nippers.  Use a rasp to flatten and level the the sole.  Size the shoe to its hoof.  Make minor adjustments to the shape of the shoe, if needed.  Secure the shoe in its place with nails.  Bend and remove the nail tips.  Clinch the nail.  File any rough spots on the hoof wall.  Repeat process three more times until all four hooves have been shod.",13
45,How to Get Started Beekeeping," Consider your yard size.  Check local laws.  Start in the spring.  Purchase your hive.  Construct a hive stand.  Get hive tools.  Figure out your bee source early.  Purchase a ""nuc."" Ask your supplier to provide you with a ""nuc."" This is a queen bee and a bunch of workers that are ready to place in the hive once spring starts.If this isn't an option, buy a confirmed queen bee and about 10,000 individual workers, which equals about three pounds of bees.  Introduce your bees to their hive.  Feed your bees as necessary.  Monitor the hive.  Watch for potential problems.",14
46,How to Harvest Sugarbag Honey From a Native Australian Beehive, Consider whether you should harvest the sugarbag honey.  Separate the honey 'super' from the 2 brood boxes.  Pierce the sugarbag pots.  Drain the sugarbag honey.  Filter the sugarbag honey.  Place the honey super back onto the top of the hive.,6
47,How to Transport a Guinea Pig," Get a small-ish guinea pig cage that will fit in the backseat of your car.  Fill it with a thick layer of newspaper or a waterproof sheet and cover with a soft fleece or towel bedding.  , Place an attachable ceramic bowl in the cage and fill it with your guinea pig's favorite food before hooking it to the cage.  Hook up a water bottle and fill it up to the brim.  Put a few handfuls of hay into the cage.  , Give your guinea pig a toy or two as long as they are light and small - you don't want them to slide and hit your guinea pigs.  , Put some veggies your guinea pigs like into the cage.  , Put your guinea pigs in to the cage and put the cage in the car on a seat with the seat belt done up.  Talk to your guinea pigs whenever you get the chance.  Try to pull pull over at a rest stop every hour.  When you have reached your destination, move your guinea pig into a proper hutch or cage, away from direct sunlight.",11
48,How to Reduce Guinea Pig Allergy, Schedule an appointment with an allergist.  Take antihistamines.  Consider taking decongestants.  Use corticosteroid nasal sprays.  Use high-efficiency air filters and purifiers.  Confine your guinea pig in one part of your home.  Protect yourself from the most common sources of allergens.  Wear protective equipment when handling your guinea pig.  Wash your hands after any allergen contact.  Ask someone who's not allergic to handle guinea pig duties.  Consider finding a new home for your pet.  Rule out hay/straw allergies.  Check if wood shavings are the problem.  Try out other guinea pig foods.,14
49,How to Set Up a Guinea Pig Cage," Consider the size of the cage.  Consider a hutch.  Consider a cubes and coroplast cage (or C & C).  Consider a chicken coop.  Consider wired cages.  Consider a guinea pig/rabbit run.  Do not fall for flimsy pet store cages.  Refrain from buying aquariums for your guinea pigs.  Don't purchase a cage with a wire bottom.  Make sure the home is predator proof.  Place the cage in a satisfactory location.  Purchase a suitable ramp.  Steer clear of toxic materials.  Be aware of reviews on wood shavings.  Consider using fleece.  Consider the use of paper bedding.  Consider CareFresh.  Consider aspen.  Consider the use of hay.  Purchase a water bowl or bottle.  Purchase a food bowl.  Buy huts, bridges and shelters.  Consider optional toys for your guinea pig.  Purchase a hay rack.  Purchase cleaning products.  Purchase optional grooming products.  Assemble your hutch.  Place it in a suitable location.  Line it with bedding.  Position a feeding and drinking station.  Place your huts/shelters in the hutch.  Add any toys and cage accessories.  Set the hay rack in the hutch.  Make sure your guinea pigs ramp can be safely used.  Assemble your C & C cage.  Place your C & C cage in a suitable location.  Line up your bedding.  Position the feeding and drinking station.  Place your huts/shelters in the cage.  Add toys and cage accessories.  Set the hay rack in the cage.  Assemble the coop.  Find a suitable location for the coop.  Add bedding.  Position the feeding and drinking station.  Ensure the ramp is fully accessible.  Place huts/shelters in the coop.  Add toys to the coop.  Set the hay rack in the coop.  Assemble the wired cage.  Find a good location for the cage.  Add bedding to the cage.  Position the feeding and drinking stations.  Place huts/shelters in the cage.  Add toys to the cage.  Set the hay rack in the cage.",56
50,How to Prepare for Your New Guinea Pig," Purchase or build a cage.  Line the cage up with absorbent bedding.  Choose where to keep the cage.  Decide on water bottles or water bowls.  Purchase a food bowl.  Purchase food prior to the arrival of your guinea pigs.  Choose your hay.  Purchase a hay dispenser.  Purchase huts, tunnels and toys for your guinea pig.",9
51,How to Take Care of a Monkey," Research monkey species.  Be ready for a huge commitment.  Find out if it's legal to own a monkey in your state.  Find a dealer or breeder with an excellent reputation.  Find an exotic animals veterinarian nearby.  Build or buy a monkey cage.  Monkey-proof your house.  Keep the monkey's space clean.  Provide clean water bottles every day.  Feed him monkey biscuits, fruits and vegetables.  Give the monkey plenty of toys and stimulation.  Play with the monkey every day.  Never punish a monkey.  Do not let the monkey play with strangers.  Have fun communicating with your monkey.",15
52,How to Repel Monkeys from Residential Areas1, Use fully secured bins.  Don't feed monkeys.  Pick the fruit from your trees.  Monkey-proof all the houses.  Avoid the use of plastic bags.  Spread the word.,6
53,How to Make Your Boyfriend Kiss You, Brush your teeth and tongue well before you meet up with him.  Get him alone.  Do something romantic.  Create a clever ruse to get him close to you.  Break the touch barrier if you haven't already.  Cuddle up with him.  Work on your pucker.  Flirt with your eyes.  Give him some serious clues when you are saying goodbye.  Flirt with your words.  Make him feel confident.  Be direct and ask him to kiss you.,12
54,How to Quiet a Capuchin Monkey1, Respect the differences between a capuchin and more traditional pets.  Educate yourself about capuchins.  Recognize that capuchins were not meant to be quiet and isolated animals.  Consider your capuchin's needs to address why they are being so vocal.,4
55,How to Kiss Your Girlfriend in Middle School, Get some privacy.  Freshen your breath.  Make her feel special.  Make sure she's ready for a kiss.  Make physical contact.  Avoid the common kissing pitfalls.  Lean toward her until your faces are almost touching.  Tilt your head slightly.  Kiss her.  Caress her cheeks and hair.  Use your hands (a little bit).  Don't forget to breathe.  Slowly pull away.  End on a good note.,14
56,How to Prepare for Your First Kiss, Practice kissing.  Practice good oral hygiene.  Have moist lips.  Find the right moment.  Keep your eyes closed.  Avoid rushing.  Relax.  Decide that you are ready.  Decide who you want to kiss.  Talk with trusted friends.  Ignore negative thoughts.  Be confident.  Understand that it is normal to be nervous.  Keep a sense of humor.,14
57,How to Repel Monkeys from Residential Areas2, Scare them off.  Build an electric fence.  Deploy an electronic sound repellent.,3
58,How to Quiet a Capuchin Monkey2, Make sure you have ample space so that capuchins can burn off energy and be less noisy.  Find your capuchin a friend.  Provide your capuchin with interesting toys and puzzles to keep them occupied.  Give your capuchin a mirror to occupy their attention.  Offer your capuchin foods that take time and attention to eat.  Make time for your capuchin.,6
59,How to Quiet a Capuchin Monkey3," Bond with your capuchin.  Demonstrate that you are in charge.  Reward your capuchin's good, quiet behavior.  Use time outs to punish your capuchin when they are loud.  Do not resort to physical discipline to quiet your capuchin.  Be consistent with your commands, especially when you want them to be quiet.  Ask an expert for help.",7
60,How to Get Your Crush to Dance With You at a School Dance1, Hang out with your friends.  Have confident body language.  Dance with your friends.  Catch your crush's eye.,4
61,How to Get a Kiss in Middle School, Think of someone you might want to be your boyfriend or girlfriend.  Figure out if that person likes you back.  Ask the person out.  Start slow.  Figure out if you're ready to kiss.  Signal that you're ready to be kissed.  Pay attention to your partner's signals.  Find the right time and place.  Muster your courage.  Ask your partner for a kiss.  Kiss your partner.  Play a game of spin the bottle.  Play seven minutes in heaven.  Play suck and blow.,14
62,How to Get Your Crush to Go out With You, Get to know each other.  Start doing stuff together.  Take it one step further.  Play it cool.  Ask them out.  Deal with their response.  Avoid pestering your crush.,7
63,How to Get Your Crush to Dance With You at a School Dance2, Get near them.  Say hi to your crush.  Compliment your crush.  Talk about the dance.  Keep the conversation short if you're dancing.  Give non-verbal cues that you want to dance.,6
64,How to Get Your Crush to Dance With You at a School Dance3, Wait until the right song.  Ask your crush.  Encourage them if they are nervous.  Keep a respectable distance at first.  Read your crush's body language.  Get closer.  Assess the situation at the end of the song.,7
65,How to Snog a Boy, Become confident in yourself.  Dress to impress.  Style your hair in an interesting way.  Highlight your lips.  Smell nice.  Flirt your way into his heart.  Create an opportunity to be alone.  Keep open and positive body language.  Be patient.  Maintain eye contact.  Get close.  Break the kiss barrier.  Go for the kiss.  Reinforce the situation with your hands.  Change it up.  Initiate a French kiss.  End the kiss before it becomes boring.,17
66,How to Get Your Crush to Be the Conversation Starter," Before you do anything else, find out a little more about your crush.  Make sure your crush is aware of your existence.  Make yourself available.  Tweak your style to perk your crush's interest.  Take care of your hygiene.  Make sure you appear in several of the classes in your crush's schedule.  Start friendly, comfortable conversations with your crush, and ask nice questions about him that will help you get to know more about him.  Slowly start to sit at your crush's table.  At this point, if you've become good enough friends with your crush so that you're a part of his daily life and attention now, your crush should be naturally starting conversations with you instead of you doing all the starting.  , Finished.  ",10
67,How to Get Your Crush to Choose You over a Popular Kid," Look at how the popular kid acts around your crush.  Think of some qualities that you have that the popular kid doesn't have.  Try being a little bit like the popular kid.  Befriend them.  Spend time with your crush.  Text your crush.  When you're ready, ask them out.",7
68,How to Get Your Crush to Be Your Friend1, Wear a unique outfit.  Be physically attractive.  Research body language tricks.  Be confident.,4
69,How to Get Your Crush to Be Your Friend2, Tell your trusted friends about your crush.  Talk with your friends about your crush's interests.  Form friendships with your crush's friends.,3
70,How to Get Your Crush to Be Your Friend3, Sit next to your crush.  Initiate conversations with your crush.  Start conversations with school-related topics.  Be kind to your crush.  Greet them.  Connect on social media.  Flirt.  Understand that your crush is human.,8
71,How to Clean a Saddle," Soak a sponge in a bucket of warm water.  Wring out the sponge till damp and wipe your saddle and tack(this opens the pores of the leather in the saddle to thoroughly clean and condition your tack when saddle/leather soap is applied.), Rub the sponge onto some saddle soap to get it nice and sudsy.  , Work in the soap into the leather from top to bottom,underneath and everywhere in-between.This may take some elbow grease and you might get a sore hand but the finished result is a nice supple saddle fit for a show.  , Use a dry rag to wipe ALL the suds off the saddle.  , Still some hard pressed dirt in there?, Since you're already covered in suds and want your saddle to look brand new, why not shine it up a bit.  You can usually wipe all non-leather parts of a saddle with a damp cloth, or sometimes use a carpet cleaner.  ",7
72,How to Clean an English Leather Saddle, Stabilize your saddle.  Dust your saddle.  Prepare a lather.  Soap your saddle.  Rinse the saddle.  Dry your saddle.  Condition the smooth leather.  Condition any rawhide areas.  Remove excess conditioner.  Decide if it is time to clean your saddle.  Check with the manufacturer.  Gather your supplies.,12
73,How to Use Saddle Soap1, Read the manufacturer's directions.  Avoid lye heavy products.  Make your own saddle soap.,3
74,How to Use Saddle Soap2, Prepare your tack for cleaning.  Clean the saddle.  Finnish up cleaning.,3
75,How to Use Saddle Soap3, Avoid saddle soap on certain shoes.  Protect your boots for the winter months.  Clean your shoes with saddle soap.,3
76,How to Put a Lead Rope on a Horse1, Approach the horse from the front.  Loosely coil the lead rope in one hand.  Grasp the halter.  Gently take up the slack.,4
77,How to Saddle a Horse Western," Groom your horse.  Check your gear.  Set the saddle pad on your horse.  Grab the cinches, straps, and stirrups.  Lift the saddle onto your horse.  Lower the cinches and stirrups.  Make the horse put his front hoof forward to avoid causing sores in the girth area on your horse where there are wrinkles in the horse's skin.  Tighten the back cinch.  Attach the breast collar (if you use one).  Pull out any skin that may have gotten trapped under the cinches.  Untie your horse.  Remember to mount from your horse's left side.",12
78,How to Put a Lead Rope on a Horse2, Clip the lead rope to the halter.  Stand on the left side of the horse's head.  Loop the lead rope around the horse's neck.  Open the halter.  Slide the halter over the nose of the horse.  Adjust the halter.,6
79,How to Put a Lead Rope on a Horse3, Bring the horse to a round corral.  Let the horse investigate the rope.  Soothe an agitated horse.  Repeat the attachment many times.  Try again with a short rope.,5
80,How to Put a Saddle On1," Note that saddling normally mainly takes place on the left side of the horse.  Have the saddle pad and saddle ready.  Place the saddle pad on the horse's back so that the straps on the side are inline with the back of the horses shoulder.  Check from the front of the horse that the saddle pad is even on both sides of the horse.  Gently lay the saddle on top of the saddle pad evenly.  Get the girth and feed the non stretchy side through the straps on the right side of the horse and attach it to the first billet hole.  On the other side of the horse, pick up the girth and attach it to the first billet hole on that side as well. Check and make sure the girth is not pinching the horse anywhere. Adjust your stirrups to the right length before riding.",9
81,How to Untack a Horse," Tie up the horse.  Move the reins up to the horse's poll.  Undo the curb chain, if the bridle has one, by unhooking it from the left side of the bridle.  , Undo the throatlatch.  , Undo the cavesson, or 'nose band.', Take hold of the reins, as well as the bridle between the horses ears and pull it gently over the ears, letting the horse drop the bit from its mouth so you don't bang his teeth.  , Put the bridle and reins over your shoulder, and place a halter on your horse.  Once he is tied safely, stand on the left side of the horse, lift up the saddle flap and unbuckle the girth.  Place your arms under the front and back of the saddle (and saddle pad, if the horse is wearing one) and lift the saddle off the horses back.  Hang up all your tack.  ",10
82,How to Tie up a Horse1, Learn the best knots for tying up a horse ahead of time.  Learn to tie a quick-release knot.  Learn another quick-release knot.  Learn to tie a bowline knot.  Use caution when tying knots.,5
83,How to Put a Saddle On2," Note that saddling normally mainly takes place on the left side of the horse.  , Have the saddle pad and saddle ready.  Place the saddle pad on the horse's back.  Check from the front of the horse that the saddle pad is even on both sides of the horse.  Before putting the saddle on the horse, hook the stirrup on the opposite side of where you are standing up over the saddle horn so it doesn't get caught under the saddle when you put it on the horse.  Lay the saddle on top of the saddle pad evenly. Put the stirrups and cinch down to hang at the horse's sides. Make the horse put it's front leg, on the side you are cinching the saddle on, forward to avoid pinching the skin when you tighten the cinch.  If your saddle has a back cinch, tighten the front cinch first and then tighten the back one. Check and make sure the girth is not pinching the horse anywhere.",10
84,How to Tie up a Horse2, Tie your horse by its halter.  Choose a safe place to secure your horse.  Tie your horse up away from other horses.  Secure the horse at eye-level or higher.  Leave the right amount of slack.  Shelter a horse that will be tied for a long time.  Keep a knife handy for cutting rope in emergency situations.  Use caution around tied horses.  Untie the horse before removing its halter.,9
85,How to Walk a Guinea Pig on a Leash1, Make sure the harness isn't too tight.  Use leashes just for the yard.  Don't walk your guinea pig.,3
86,How to Walk a Guinea Pig on a Leash2, Designate one area for guinea pigs.  Hide electrical cords.  Put hazards out of reach.  Separate the other pets.  Let everyone know the guinea pigs are out.  Give them enough exercise time.  Don't forget to provide food and water.,7
87,How to Walk a Guinea Pig on a Leash3, Place them in an enclosure.  Keep your guinea pigs cool.  Don't let them go out on damp grass.  Provide food and water.  Check for poisonous plants.  Stay outside.,6
88,How to Walk a Guinea Pig on a Leash4, Buy a large enough cage.  Buy one commercially.  Build your own.,3
89,How to Train Your Guinea Pig, Train her to come to you when she is called.  Practice the stand up command.  Do the turn in a circle command.  Train your guinea pig to push a ball.  Teach her to jump through a hoop.  Practice litter box training.,6
90,How to Potty Train a Guinea Pig, Observe your guinea pig.  Buy a litter tray.  Prepare the litter tray.  Watch her behavior.  Keep up the litter tray.  Be patient.  Start small.  Lay out her litter tray.  Cover up the remaining corners.  Expand the area.,10
